18:09:47 --- Epoch:0	Train loss: 1.8579	Valid loss: 1.0125	Train accuracy: 70.38	Valid accuracy: 71.67	Valid average accuracy: 71.67	Valid Standard deviation: 0.00
18:10:41 --- Epoch:1	Train loss: 0.7434	Valid loss: 0.5324	Train accuracy: 81.73	Valid accuracy: 83.37	Valid average accuracy: 77.52	Valid Standard deviation: 8.27
18:11:35 --- Epoch:2	Train loss: 0.4831	Valid loss: 0.3806	Train accuracy: 86.43	Valid accuracy: 87.73	Valid average accuracy: 80.92	Valid Standard deviation: 8.31
18:12:29 --- Epoch:3	Train loss: 0.3761	Valid loss: 0.3184	Train accuracy: 88.61	Valid accuracy: 90.02	Valid average accuracy: 83.20	Valid Standard deviation: 8.17
18:13:23 --- Epoch:4	Train loss: 0.3179	Valid loss: 0.2486	Train accuracy: 90.35	Valid accuracy: 92.37	Valid average accuracy: 85.03	Valid Standard deviation: 8.18
18:14:17 --- Epoch:5	Train loss: 0.2798	Valid loss: 0.2183	Train accuracy: 91.62	Valid accuracy: 93.12	Valid average accuracy: 86.38	Valid Standard deviation: 8.02
18:15:12 --- Epoch:6	Train loss: 0.2394	Valid loss: 0.1834	Train accuracy: 92.82	Valid accuracy: 94.32	Valid average accuracy: 87.51	Valid Standard deviation: 7.91
18:16:07 --- Epoch:7	Train loss: 0.2117	Valid loss: 0.1556	Train accuracy: 93.78	Valid accuracy: 95.17	Valid average accuracy: 88.47	Valid Standard deviation: 7.81
18:17:02 --- Epoch:8	Train loss: 0.1880	Valid loss: 0.1515	Train accuracy: 94.15	Valid accuracy: 95.20	Valid average accuracy: 89.22	Valid Standard deviation: 7.64
18:17:57 --- Epoch:9	Train loss: 0.1724	Valid loss: 0.1228	Train accuracy: 95.06	Valid accuracy: 96.33	Valid average accuracy: 89.93	Valid Standard deviation: 7.55
18:18:50 --- Epoch:10	Train loss: 0.1524	Valid loss: 0.1133	Train accuracy: 95.70	Valid accuracy: 96.63	Valid average accuracy: 90.54	Valid Standard deviation: 7.44
18:19:44 --- Epoch:11	Train loss: 0.1398	Valid loss: 0.1039	Train accuracy: 96.04	Valid accuracy: 96.87	Valid average accuracy: 91.07	Valid Standard deviation: 7.33
18:20:38 --- Epoch:12	Train loss: 0.1299	Valid loss: 0.0973	Train accuracy: 95.77	Valid accuracy: 97.27	Valid average accuracy: 91.54	Valid Standard deviation: 7.22
18:21:32 --- Epoch:13	Train loss: 0.1190	Valid loss: 0.0875	Train accuracy: 96.47	Valid accuracy: 97.50	Valid average accuracy: 91.97	Valid Standard deviation: 7.12
18:22:26 --- Epoch:14	Train loss: 0.1082	Valid loss: 0.0839	Train accuracy: 96.65	Valid accuracy: 97.57	Valid average accuracy: 92.34	Valid Standard deviation: 7.01
18:23:19 --- Epoch:15	Train loss: 0.1058	Valid loss: 0.0757	Train accuracy: 97.07	Valid accuracy: 97.77	Valid average accuracy: 92.68	Valid Standard deviation: 6.91
18:24:14 --- Epoch:16	Train loss: 0.0979	Valid loss: 0.0737	Train accuracy: 97.22	Valid accuracy: 97.75	Valid average accuracy: 92.98	Valid Standard deviation: 6.80
18:25:07 --- Epoch:17	Train loss: 0.0943	Valid loss: 0.0705	Train accuracy: 97.22	Valid accuracy: 97.92	Valid average accuracy: 93.25	Valid Standard deviation: 6.70
