22:04:53 --- Epoch:0	Train loss: 1.8860	Valid loss: 1.3654	Train accuracy: 75.35	Valid accuracy: 76.15	Valid average accuracy: 76.15	Valid Standard deviation: 0.00
22:05:44 --- Epoch:1	Train loss: 1.0269	Valid loss: 0.7555	Train accuracy: 86.20	Valid accuracy: 87.18	Valid average accuracy: 81.67	Valid Standard deviation: 7.80
22:06:35 --- Epoch:2	Train loss: 0.6224	Valid loss: 0.4856	Train accuracy: 89.99	Valid accuracy: 91.18	Valid average accuracy: 84.84	Valid Standard deviation: 7.79
22:07:26 --- Epoch:3	Train loss: 0.4319	Valid loss: 0.3511	Train accuracy: 91.93	Valid accuracy: 92.93	Valid average accuracy: 86.86	Valid Standard deviation: 7.54
22:08:17 --- Epoch:4	Train loss: 0.3312	Valid loss: 0.2715	Train accuracy: 93.29	Valid accuracy: 94.52	Valid average accuracy: 88.39	Valid Standard deviation: 7.37
22:09:09 --- Epoch:5	Train loss: 0.2671	Valid loss: 0.2281	Train accuracy: 94.19	Valid accuracy: 94.85	Valid average accuracy: 89.47	Valid Standard deviation: 7.10
22:10:00 --- Epoch:6	Train loss: 0.2244	Valid loss: 0.1892	Train accuracy: 95.07	Valid accuracy: 95.75	Valid average accuracy: 90.37	Valid Standard deviation: 6.90
22:10:52 --- Epoch:7	Train loss: 0.1929	Valid loss: 0.1662	Train accuracy: 95.50	Valid accuracy: 96.17	Valid average accuracy: 91.09	Valid Standard deviation: 6.71
22:11:43 --- Epoch:8	Train loss: 0.1719	Valid loss: 0.1447	Train accuracy: 96.17	Valid accuracy: 96.58	Valid average accuracy: 91.70	Valid Standard deviation: 6.54
22:12:34 --- Epoch:9	Train loss: 0.1541	Valid loss: 0.1308	Train accuracy: 96.38	Valid accuracy: 96.82	Valid average accuracy: 92.21	Valid Standard deviation: 6.37
22:13:25 --- Epoch:10	Train loss: 0.1414	Valid loss: 0.1192	Train accuracy: 96.64	Valid accuracy: 97.07	Valid average accuracy: 92.65	Valid Standard deviation: 6.22
22:14:16 --- Epoch:11	Train loss: 0.1305	Valid loss: 0.1104	Train accuracy: 96.84	Valid accuracy: 97.17	Valid average accuracy: 93.03	Valid Standard deviation: 6.07
22:15:07 --- Epoch:12	Train loss: 0.1183	Valid loss: 0.1018	Train accuracy: 97.07	Valid accuracy: 97.43	Valid average accuracy: 93.37	Valid Standard deviation: 5.94
22:15:58 --- Epoch:13	Train loss: 0.1141	Valid loss: 0.0953	Train accuracy: 97.21	Valid accuracy: 97.53	Valid average accuracy: 93.67	Valid Standard deviation: 5.82
22:16:50 --- Epoch:14	Train loss: 0.1067	Valid loss: 0.0910	Train accuracy: 97.52	Valid accuracy: 97.62	Valid average accuracy: 93.93	Valid Standard deviation: 5.70
22:17:41 --- Epoch:15	Train loss: 0.1004	Valid loss: 0.0831	Train accuracy: 97.48	Valid accuracy: 97.92	Valid average accuracy: 94.18	Valid Standard deviation: 5.59
22:18:33 --- Epoch:16	Train loss: 0.0951	Valid loss: 0.0816	Train accuracy: 97.72	Valid accuracy: 97.78	Valid average accuracy: 94.39	Valid Standard deviation: 5.48
22:19:24 --- Epoch:17	Train loss: 0.0914	Valid loss: 0.0807	Train accuracy: 97.67	Valid accuracy: 97.85	Valid average accuracy: 94.58	Valid Standard deviation: 5.38
22:20:15 --- Epoch:18	Train loss: 0.0889	Valid loss: 0.0751	Train accuracy: 97.85	Valid accuracy: 98.07	Valid average accuracy: 94.77	Valid Standard deviation: 5.29
22:21:05 --- Epoch:19	Train loss: 0.0841	Valid loss: 0.0744	Train accuracy: 98.00	Valid accuracy: 98.02	Valid average accuracy: 94.93	Valid Standard deviation: 5.20
22:22:07 --- Epoch:20	Train loss: 0.0795	Valid loss: 0.0681	Train accuracy: 97.94	Valid accuracy: 98.27	Valid average accuracy: 95.09	Valid Standard deviation: 5.12
22:23:06 --- Epoch:21	Train loss: 0.0779	Valid loss: 0.0674	Train accuracy: 97.97	Valid accuracy: 98.10	Valid average accuracy: 95.23	Valid Standard deviation: 5.04
22:23:57 --- Epoch:22	Train loss: 0.0751	Valid loss: 0.0679	Train accuracy: 98.01	Valid accuracy: 98.17	Valid average accuracy: 95.35	Valid Standard deviation: 4.96
22:24:48 --- Epoch:23	Train loss: 0.0716	Valid loss: 0.0644	Train accuracy: 98.08	Valid accuracy: 98.30	Valid average accuracy: 95.48	Valid Standard deviation: 4.89
22:25:39 --- Epoch:24	Train loss: 0.0711	Valid loss: 0.0611	Train accuracy: 98.02	Valid accuracy: 98.33	Valid average accuracy: 95.59	Valid Standard deviation: 4.82
22:26:30 --- Epoch:25	Train loss: 0.0691	Valid loss: 0.0583	Train accuracy: 98.28	Valid accuracy: 98.45	Valid average accuracy: 95.70	Valid Standard deviation: 4.76
22:27:21 --- Epoch:26	Train loss: 0.0698	Valid loss: 0.0595	Train accuracy: 98.31	Valid accuracy: 98.30	Valid average accuracy: 95.80	Valid Standard deviation: 4.69
22:28:13 --- Epoch:27	Train loss: 0.0652	Valid loss: 0.0583	Train accuracy: 98.43	Valid accuracy: 98.40	Valid average accuracy: 95.89	Valid Standard deviation: 4.63
22:29:04 --- Epoch:28	Train loss: 0.0650	Valid loss: 0.0569	Train accuracy: 98.22	Valid accuracy: 98.47	Valid average accuracy: 95.98	Valid Standard deviation: 4.57
22:29:55 --- Epoch:29	Train loss: 0.0635	Valid loss: 0.0542	Train accuracy: 98.35	Valid accuracy: 98.57	Valid average accuracy: 96.06	Valid Standard deviation: 4.52
